Production_test,Production_predicted
6669,27372.708498037897
27375,27882.607584684018
39969,39894.44089881734
20666,20905.96680735131
34094,15601.451019119706
61178,61271.43216944346
26201,26363.14962397957
36803,37166.845327269184
58767,53330.05111500229
58952,58760.039959688234
34141,35161.31359211321
55302,55110.28878375506
45809,45732.33603136322
293,26309.658833715
28864,29915.462645507516
38199,38019.84534351175
17551,26345.954298904053
53256,35013.86849528996
0,249.28831634126206
55776,55529.86775097691
25712,35225.51280822559
10705,15916.255179444586
48136,48408.252198057926
0,26309.658833715
40800,16201.91504782233
26900,26487.911101249534
26456,26149.98169674099
7263,7914.170840978039
36323,20889.983539102406
25779,41892.300858742296
3548,15942.994367581012
38658,16384.387032215305
22881,20415.747803778668
26456,26149.98169674099
26843,27016.798041690312
6612,24428.22172012338
37856,32441.164153009806
17168,26309.658833715
44553,44644.47345209261
1346,16341.161526375137
26463,26309.658833715
4229,24443.01811044814
15454,15153.307739855458
51611,51936.43524995385
26456,24235.52124460467
52909,26309.658833715
19048,26773.002047061684
1854,2170.2404332325304
57123,16581.31432674359
18878,26309.658833715
52496,52923.8030479121
0,3991.9340069086097
16140,17147.25994942384
7458,7016.579765303203
26456,27340.11015128449
20090,20462.447627066857
5902,20813.179630309056
59969,59972.76114377301
34867,35137.621063424274
27135,27735.2716501951
44635,32908.48159007396
49507,26869.539737653733
4335,28608.938604043735
26456,15601.451019119706
8989,16564.267304830915
26456,24235.52124460467
38237,23035.446034405875
